ticker,price,rsi,pct_below_sma50,pct_off_high,vol_spike,macd_cross,dip_score
REGN,614.78,27.4,14.42,24.11,🔥 Yes,No,5
ORLY,86.88,35.0,5.57,19.42,🔥 Yes,No,4
PDD,84.44,32.3,14.2,38.87,🔥 Yes,No,4
MSFT,450.24,70.1,-11.98,16.41,🔥 Yes,✅ Yes,3
NFLX,86.02,37.1,7.54,35.76,No,No,3
PEP,144.19,35.0,5.89,14.67,🔥 Yes,No,3
ADBE,259.21,58.7,-6.04,37.83,🔥 Yes,✅ Yes,3
INTU,331.53,40.1,15.28,58.66,🔥 Yes,No,3
CHTR,144.05,34.2,23.8,65.56,No,No,3
CSGP,32.2,34.1,12.52,66.75,No,No,3
COST,956.32,34.2,4.99,12.61,🔥 Yes,No,2
TMUS,187.53,43.1,3.95,26.23,🔥 Yes,No,2
ISRG,424.64,40.1,6.46,28.37,No,No,2
SNPS,475.62,43.7,-3.21,26.3,🔥 Yes,No,2
CTAS,171.26,49.4,0.62,24.06,🔥 Yes,No,2
WDAY,146.19,66.3,-16.5,42.19,🔥 Yes,No,2
PAYX,96.98,61.3,-6.08,36.81,🔥 Yes,No,2
CPRT,32.77,45.0,1.32,36.34,🔥 Yes,No,2
IDXX,563.53,52.6,0.19,26.5,🔥 Yes,No,2
BIIB,196.0,56.4,-4.97,4.17,🔥 Yes,✅ Yes,2
DLTR,116.44,73.2,-15.93,17.54,🔥 Yes,No,2
CTSH,55.76,59.7,0.01,34.9,🔥 Yes,No,2
ZS,139.73,44.5,2.68,58.45,🔥 Yes,No,2
TEAM,107.61,72.2,-41.38,51.28,🔥 Yes,No,2
GEHC,62.34,41.3,7.54,29.23,No,No,2
LCID,6.55,51.0,12.61,79.07,No,No,2
RIVN,16.3,63.3,-6.71,27.39,🔥 Yes,No,2
SMCI,46.09,79.5,-60.77,24.08,🔥 Yes,No,2
TTD,21.56,46.1,3.46,75.98,🔥 Yes,No,2
MRNA,47.19,44.3,5.94,18.36,No,No,2
CCEP,90.69,42.4,2.79,17.0,🔥 Yes,No,2
CDW,125.45,62.2,-3.77,30.06,🔥 Yes,No,2
NVDA,211.14,49.4,-5.91,10.44,🔥 Yes,No,1
META,632.51,55.4,-2.26,19.75,No,No,1
GOOGL,380.34,52.9,-9.43,5.53,🔥 Yes,No,1
GOOG,376.43,52.5,-9.09,5.67,🔥 Yes,No,1
AVGO,446.77,65.9,-15.84,0.0,🔥 Yes,No,1
LIN,497.69,44.4,0.65,3.84,🔥 Yes,No,1
TXN,305.68,61.0,-21.69,5.91,🔥 Yes,No,1
BKNG,167.43,52.4,1.76,27.6,No,No,1
PANW,281.69,80.5,-47.16,0.0,🔥 Yes,No,1
GILD,134.43,52.2,0.5,13.23,🔥 Yes,No,1
SBUX,99.16,39.2,-0.24,7.17,No,No,1
MELI,1695.65,50.0,1.71,35.12,No,No,1
PYPL,44.75,42.6,3.86,42.48,No,No,1
MAR,375.6,60.8,-6.57,2.66,🔥 Yes,No,1
CEG,287.75,48.6,1.51,28.48,No,No,1
ADP,221.84,59.5,-6.89,30.41,No,No,1
PCAR,110.37,40.4,5.76,14.49,No,No,1
MNST,88.08,65.8,-12.07,1.3,🔥 Yes,No,1
KDP,30.03,65.4,-8.53,12.44,🔥 Yes,No,1
DXCM,73.74,69.5,-15.37,17.64,No,No,1
ROST,231.73,59.5,-4.62,1.31,🔥 Yes,No,1
ODFL,225.15,67.4,-10.05,0.0,🔥 Yes,No,1
VRSK,174.99,52.3,1.51,45.12,No,No,1
EA,201.72,54.5,0.08,1.31,🔥 Yes,No,1
XEL,79.5,47.3,0.45,4.56,🔥 Yes,No,1
FANG,191.48,43.4,1.8,9.9,🔥 Yes,No,1
EXC,45.64,49.5,2.28,9.25,🔥 Yes,No,1
TTWO,224.16,50.6,-4.92,14.54,🔥 Yes,No,1
BKR,63.88,46.7,-0.14,8.0,🔥 Yes,No,1
WBD,27.01,45.4,0.75,9.91,🔥 Yes,No,1
OKTA,123.27,83.1,-55.02,0.0,🔥 Yes,No,1
ALGN,174.95,56.9,-0.5,15.56,No,No,1
CINF,157.42,33.0,3.09,8.28,No,No,1
FITB,49.93,56.4,-2.87,8.53,🔥 Yes,No,1
AAPL,312.06,79.0,-13.43,0.14,No,No,0
AMZN,270.64,59.7,-9.72,1.58,No,No,0
TSLA,435.79,60.0,-11.23,11.04,No,No,0
ASML,1612.76,59.5,-10.91,1.23,No,No,0
AZN,185.67,46.4,2.73,11.0,No,No,0
AMD,516.1,76.0,-57.28,0.38,No,No,0
QCOM,251.02,70.0,-51.52,0.0,No,No,0
AMAT,450.06,62.0,-13.42,1.06,No,No,0
AMGN,336.79,51.2,0.89,12.58,No,No,0
MU,971.0,78.0,-74.16,0.0,No,No,0
HON,237.86,71.7,-7.18,3.58,No,No,0
VRTX,447.54,58.1,-2.02,10.34,No,No,0
LRCX,318.18,66.1,-20.66,1.39,No,No,0
ADI,413.85,56.2,-10.77,4.29,No,No,0
KLAC,1921.71,58.1,-11.05,4.46,No,No,0
INTC,114.68,59.2,-39.09,11.4,No,No,0
CDNS,374.93,66.1,-16.45,1.79,No,No,0
CRWD,731.0,83.8,-51.5,0.0,No,No,0
MDLZ,61.17,53.0,-3.36,11.28,No,No,0
ABNB,133.31,46.2,0.81,7.54,No,No,0
NXPI,321.35,65.5,-28.77,3.4,No,No,0
MRVL,205.0,69.5,-39.78,1.57,No,No,0
FTNT,137.97,80.2,-43.5,0.0,No,No,0
FAST,44.2,48.7,1.38,10.87,No,No,0
ON,120.62,64.9,-35.57,5.02,No,No,0
TSLA,435.79,60.0,-11.23,11.04,No,No,0
DDOG,247.35,87.5,-61.56,0.0,No,No,0
ILMN,162.96,78.8,-21.8,0.0,No,No,0
SIRI,29.52,70.9,-15.99,1.17,No,No,0
GFS,79.97,61.0,-32.74,11.1,No,No,0
ENPH,68.36,77.4,-67.06,2.73,No,No,0
ZM,101.59,54.9,-10.66,6.98,No,No,0
EBAY,109.27,50.5,-6.68,7.89,No,No,0
